reaction_ID,lower_flux_bound,upper_flux_bound
HMR_3905,0,1000
HMR_3907,0,1000
HMR_4281,-1000,1000
HMR_4388,-1000,1000
HMR_8357,0,1000
HMR_4379,0,1000
HMR_4301,0,1000
HMR_4355,0,1000
HMR_4358,0,1000
HMR_4363,-1000,1000
HMR_4365,-1000,1000
HMR_4368,-1000,1000
HMR_4371,0,1000
HMR_4372,0,1000
HMR_4373,-1000,1000
HMR_4375,-1000,1000
HMR_4377,0,1000
HMR_4381,-1000,1000
HMR_4391,-1000,1000
HMR_4394,0,1000
HMR_4396,-1000,1000
HMR_7745,-1000,1000
HMR_7746,0,1000
HMR_7747,0,1000
HMR_7748,-1000,1000
HMR_7749,-1000,1000
HMR_4122,0,1000
HMR_9727,0,1000
HMR_8582,0,1000
HMR_3944,0,1000
HMR_4128,-1000,1000
HMR_4416,0,1000
HMR_4774,-1000,1000
HMR_4775,-1000,1000
HMR_7674,0,1000
HMR_8762,-1000,1000
HMR_8766,-1000,1000
HMR_4297,0,1000
HMR_4316,-1000,1000
HMR_4319,0,1000
HMR_4385,0,1000
HMR_4490,0,1000
HMR_4706,0,1000
HMR_4590,0,1000
HMR_4591,0,1000
HMR_4592,-1000,1000
HMR_8341,0,1000
HMR_8344,-1000,1000
HMR_8727,0,1000
HMR_8729,0,1000
HMR_6537,-1000,1000
HMR_3853,0,1000
HMR_3854,0,1000
HMR_3855,0,1000
HMR_3857,0,1000
HMR_3859,0,1000
HMR_4193,0,1000
HMR_8497,0,1000
HMR_8500,0,1000
HMR_8501,0,1000
HMR_8502,-1000,1000
HMR_8503,0,1000
HMR_8504,0,1000
HMR_8506,0,1000
HMR_8507,0,1000
HMR_8508,0,1000
HMR_8509,0,1000
HMR_8511,0,1000
HMR_8514,0,1000
HMR_4280,-1000,1000
HMR_9804,-1000,1000
HMR_5351,-1000,1000
HMR_7709,-1000,1000
HMR_4052,0,1000
HMR_4306,-1000,1000
HMR_4350,-1000,1000
HMR_4354,-1000,1000
HMR_4404,-1000,1000
HMR_4473,0,1000
HMR_4474,0,1000
HMR_4476,-1000,1000
HMR_4501,-1000,1000
HMR_4565,-1000,1000
HMR_4567,-1000,1000
HMR_4568,-1000,1000
HMR_4623,0,1000
HMR_4625,0,1000
HMR_8074,0,1000
HMR_8653,-1000,1000
HMR_4000,0,1000
HMR_4002,-1000,1000
HMR_4004,-1000,1000
HMR_4010,0,1000
HMR_4081,0,1000
HMR_4082,0,1000
HMR_4012,0,1000
HMR_4014,0,1000
