reaction_ID,lower_flux_bound,upper_flux_bound
HMR_4281,-1000,1000
HMR_4388,-1000,1000
HMR_4283,0,1000
HMR_8357,0,1000
HMR_4379,0,1000
HMR_4301,0,1000
HMR_4355,0,1000
HMR_4358,0,1000
HMR_4363,-1000,1000
HMR_4365,-1000,1000
HMR_4368,-1000,1000
HMR_4371,0,1000
HMR_4372,0,1000
HMR_4373,-1000,1000
HMR_4375,-1000,1000
HMR_4381,-1000,1000
HMR_4391,-1000,1000
HMR_4394,0,1000
HMR_4396,-1000,1000
HMR_4521,0,1000
HMR_7748,-1000,1000
HMR_7749,-1000,1000
HMR_5395,0,1000
HMR_5396,0,1000
HMR_5397,0,1000
HMR_5398,0,1000
HMR_5401,0,1000
HMR_8587,0,1000
HMR_3944,0,1000
HMR_4128,-1000,1000
HMR_4416,0,1000
HMR_4774,-1000,1000
HMR_4775,-1000,1000
HMR_4831,-1000,1000
HMR_7674,0,1000
HMR_8766,-1000,1000
HMR_4297,0,1000
HMR_4316,-1000,1000
HMR_4383,-1000,1000
HMR_4385,0,1000
HMR_4386,0,1000
HMR_4401,-1000,1000
HMR_4402,-1000,1000
HMR_4706,0,1000
HMR_4590,0,1000
HMR_4592,-1000,1000
HMR_8341,0,1000
HMR_8342,-1000,1000
HMR_8727,0,1000
HMR_8728,0,1000
HMR_1568,0,1000
HMR_3853,0,1000
HMR_3854,0,1000
HMR_3855,0,1000
HMR_4087,0,1000
HMR_4091,0,1000
HMR_4193,0,1000
HMR_8497,0,1000
HMR_8500,0,1000
HMR_8502,-1000,1000
HMR_8503,0,1000
HMR_8504,0,1000
HMR_8506,0,1000
HMR_8509,0,1000
HMR_8512,-1000,1000
HMR_4280,-1000,1000
HMR_4464,0,1000
HMR_5351,-1000,1000
HMR_4052,0,1000
HMR_4304,0,1000
HMR_4306,-1000,1000
HMR_4350,-1000,1000
HMR_4404,-1000,1000
HMR_4473,0,1000
HMR_4474,0,1000
HMR_4476,-1000,1000
HMR_4501,-1000,1000
HMR_4565,-1000,1000
HMR_4567,-1000,1000
HMR_4568,-1000,1000
HMR_4623,0,1000
HMR_4625,0,1000
HMR_4710,-1000,1000
HMR_4841,-1000,1000
HMR_8074,0,1000
HMR_8653,-1000,1000
HMR_4000,0,1000
HMR_4002,-1000,1000
HMR_4004,-1000,1000
HMR_4010,0,1000
HMR_4081,0,1000
HMR_4014,0,1000
HMR_4020,-1000,1000
HMR_4022,0,1000
HMR_4038,-1000,1000
HMR_4040,0,1000
HMR_4048,0,1000
HMR_4085,-1000,1000
HMR_4086,-1000,1000
HMR_4171,0,1000
HMR_4417,0,1000
HMR_4418,-1000,1000
HMR_4419,0,1000
HMR_4421,0,1000
HMR_4449,0,1000
HMR_4450,0,1000
HMR_4452,-1000,1000
HMR_4480,-1000,1000
HMR_4481,0,1000
HMR_4482,0,1000
HMR_4573,0,1000
HMR_4574,-1000,1000
HMR_4600,0,1000
HMR_4602,0,1000
HMR_4603,-1000,1000
HMR_4615,0,1000
HMR_4632,0,1000
